date,swe_mm,tair_c,ppt_mm
2012-10-01,0,16.9,0
2012-10-02,0,12.3,0
2012-10-03,0,4.7,0
2012-10-04,0,5.5,0
2012-10-05,0,5.9,0
2012-10-06,0,6.6,0
2012-10-07,0,8.4,0
2012-10-08,0,10.2,0
2012-10-09,0,9.9,0
2012-10-10,0,11.1,0
2012-10-11,0,10.4,0
2012-10-12,0,7.6,7.6
2012-10-13,0,8.1,2.5
2012-10-14,0,9.6,10.2
2012-10-15,0,10,71.1
2012-10-16,0,4.7,7.6
2012-10-17,0,4.6,0
2012-10-18,0,11,2.5
2012-10-19,0,7.2,17.8
2012-10-20,0,1,15.2
2012-10-21,10.2,0.4,10.2
2012-10-22,12.7,-0.2,17.8
2012-10-23,27.9,-0.5,5.1
2012-10-24,30.5,0,5.1
2012-10-25,38.1,1.2,0
2012-10-26,33,3.1,7.6
2012-10-27,25.4,5.7,25.4
2012-10-28,7.6,9.2,27.9
2012-10-29,0,8.3,33
2012-10-30,0,8.8,0
2012-10-31,0,6.7,7.6
2012-11-01,0,4.3,15.2
2012-11-02,0,5.2,7.6
2012-11-03,0,7.6,2.5
2012-11-04,0,9.5,0
2012-11-05,0,11,0
2012-11-06,0,11.2,0
2012-11-07,0,1.4,0
2012-11-08,2.5,-0.4,7.6
2012-11-09,10.2,-2.2,10.2
2012-11-10,17.8,-2.9,0
2012-11-11,17.8,-0.4,7.6
2012-11-12,20.3,2,17.8
2012-11-13,33,3.2,2.5
2012-11-14,22.9,3.3,0
2012-11-15,20.3,1.5,0
2012-11-16,20.3,5.4,0
2012-11-17,12.7,2.4,12.7
2012-11-18,17.8,0.9,20.3
2012-11-19,35.6,4.9,55.9
2012-11-20,20.3,1.6,55.9
2012-11-21,68.6,-0.9,20.3
2012-11-22,96.5,-0.9,5.1
2012-11-23,91.4,4.9,15.2
2012-11-24,94,3.1,20.3
2012-11-25,81.3,-1.3,0
2012-11-26,78.7,-1.2,0
2012-11-27,78.7,-0.6,0
2012-11-28,78.7,2.8,2.5
2012-11-29,81.3,3.4,33
2012-11-30,88.9,3.5,17.8
2012-12-01,86.4,1.3,33
2012-12-02,119.4,0.3,25.4
2012-12-03,160,1.4,27.9
2012-12-04,170.2,5.6,86.4
2012-12-05,147.3,-0.1,5.1
2012-12-06,149.9,-1.4,2.5
2012-12-07,152.4,-0.5,7.6
2012-12-08,167.6,-2.1,5.1
2012-12-09,172.7,0.2,7.6
2012-12-10,180.3,2.7,0
2012-12-11,175.3,0.9,5.1
2012-12-12,185.4,-2.9,2.5
2012-12-13,188,-3.8,0
2012-12-14,188,-3.1,5.1
2012-12-15,193,-3.1,17.8
2012-12-16,210.8,-0.8,38.1
2012-12-17,248.9,-3.5,35.6
2012-12-18,284.5,-5.5,10.2
2012-12-19,294.6,-2.1,10.2
2012-12-20,304.8,-1.1,20.3
2012-12-21,325.1,-0.9,15.2
2012-12-22,340.4,-1.4,15.2
2012-12-23,355.6,-2.5,20.3
2012-12-24,381,-3.3,10.2
2012-12-25,391.2,-1.5,22.9
2012-12-26,408.9,-0.8,10.2
2012-12-27,419.1,-3.2,0
2012-12-28,421.6,-5.3,0
2012-12-29,419.1,-4.3,0
2012-12-30,419.1,-6.5,0
2012-12-31,419.1,-5.1,0
2013-01-01,416.6,-6.6,0
2013-01-02,411.5,-9.7,0
2013-01-03,408.9,-5.8,5.1
2013-01-04,406.4,1.2,0
2013-01-05,406.4,-2.2,0
2013-01-06,406.4,0.2,2.5
2013-01-07,408.9,1.8,5.1
2013-01-08,411.5,2.5,10.2
2013-01-09,416.6,-0.5,5.1
2013-01-10,439.4,-4.8,0
2013-01-11,447,-8,0
2013-01-12,447,-8.9,0
2013-01-13,444.5,-9.8,0
2013-01-14,442,-4.6,7.6
2013-01-15,444.5,3.2,0
2013-01-16,434.3,6,0
2013-01-17,431.8,5.7,0
2013-01-18,426.7,6.2,0
2013-01-19,429.3,6.2,0
2013-01-20,431.8,3.4,0
2013-01-21,434.3,4.5,0
2013-01-22,431.8,4.4,0
2013-01-23,431.8,1.4,7.6
2013-01-24,436.9,2.4,5.1
2013-01-25,452.1,2.9,17.8
2013-01-26,447,-1.9,5.1
2013-01-27,459.7,-2.9,10.2
2013-01-28,472.4,-2,12.7
2013-01-29,467.4,-0.7,15.2
2013-01-30,477.5,0.5,12.7
2013-01-31,487.7,1.3,0
2013-02-01,487.7,2,0
2013-02-02,487.7,2.5,0
2013-02-03,487.7,4,0
2013-02-04,485.1,4.8,2.5
2013-02-05,482.6,0.7,5.1
2013-02-06,495.3,0.1,2.5
2013-02-07,502.9,-3,5.1
2013-02-08,508,-4.3,0
2013-02-09,510.5,-2.3,0
2013-02-10,508,-0.7,0
2013-02-11,508,-1.2,2.5
2013-02-12,508,0.7,0
2013-02-13,510.5,1.1,5.1
2013-02-14,515.6,2.4,0
2013-02-15,510.5,4.3,0
2013-02-16,513.1,1.5,0
2013-02-17,508,-2.6,0
2013-02-18,518.2,-1.9,0
2013-02-19,518.2,-2.3,0
2013-02-20,515.6,-2.5,2.5
2013-02-21,510.5,-2.6,5.1
2013-02-22,520.7,-1.5,15.2
2013-02-23,546.1,-3.8,7.6
2013-02-24,543.6,-1.7,2.5
2013-02-25,546.1,-2.3,10.2
2013-02-26,556.3,-1.3,2.5
2013-02-27,558.8,0.6,0
2013-02-28,556.3,3.4,20.3
2013-03-01,546.1,5.2,0
2013-03-02,538.5,4.5,0
2013-03-03,535.9,-1.7,0
2013-03-04,541,-0.8,0
2013-03-05,548.6,-0.2,2.5
2013-03-06,546.1,-1.3,15.2
2013-03-07,563.9,-0.4,0
2013-03-08,563.9,-0.3,0
2013-03-09,561.3,0.7,0
2013-03-10,558.8,2.7,10.2
2013-03-11,551.2,3.9,2.5
2013-03-12,535.9,5.3,2.5
2013-03-13,535.9,7.1,0
2013-03-14,535.9,7.1,0
2013-03-15,535.9,4.7,0
2013-03-16,518.2,0.5,5.1
2013-03-17,535.9,-3.4,5.1
2013-03-18,530.9,-1.2,0
2013-03-19,535.9,2.4,12.7
2013-03-20,543.6,0.3,40.6
2013-03-21,543.6,-3.8,7.6
2013-03-22,543.6,-4.3,5.1
2013-03-23,551.2,-3.1,0
2013-03-24,553.7,0,2.5
2013-03-25,553.7,2.2,2.5
2013-03-26,551.2,2.4,0
2013-03-27,551.2,3.6,0
2013-03-28,543.6,4.5,5.1
2013-03-29,533.4,5.6,0
2013-03-30,518.2,8.6,0
2013-03-31,500.4,8.9,0
2013-04-01,480.1,5.4,0
2013-04-02,452.1,5,0
2013-04-03,426.7,6.8,0
2013-04-04,408.9,6.1,22.9
2013-04-05,406.4,3.1,27.9
2013-04-06,383.5,1.6,20.3
2013-04-07,388.6,-0.2,27.9
2013-04-08,414,-0.7,2.5
2013-04-09,414,2.6,2.5
2013-04-10,414,3.8,0
2013-04-11,398.8,1.4,0
2013-04-12,383.5,3.1,7.6
2013-04-13,381,-1.7,2.5
2013-04-14,383.5,-1.9,7.6
2013-04-15,393.7,-1.3,2.5
2013-04-16,398.8,-1,7.6
